Barrie, (47045) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Fine Particulate Matter,2020-01-01,2,2,2,3,3,2,2,2,3,3,2,2,3,3,5,5,6,7,9,11,13,11,13,11,
47045,Fine Particulate Matter,2020-01-02,11,11,11,9,9,8,8,7,7,6,5,6,7,8,9,7,10,11,12,11,11,12,13,11,
47045,Fine Particulate Matter,2020-01-03,11,9,10,11,11,13,14,17,19,19,17,10,6,4,4,3,2,2,2,2,2,2,4,3,
47045,Fine Particulate Matter,2020-01-04,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,4,6,5,6,4,4,3,3,
47045,Fine Particulate Matter,2020-01-05,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,3,4,5,6,6,5,6,7,7,
47045,Fine Particulate Matter,2020-01-06,9,10,9,8,8,7,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,
47045,Fine Particulate Matter,2020-01-07,4,5,5,5,5,5,6,6,8,9,9,12,12,13,10,9,9,10,11,11,10,12,9,7,
47045,Fine Particulate Matter,2020-01-08,6,4,5,3,3,2,2,2,3,3,4,4,3,3,4,4,3,4,3,3,2,2,2,2,
47045,Fine Particulate Matter,2020-01-09,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,4,4,4,
47045,Fine Particulate Matter,2020-01-10,4,4,6,6,6,6,7,9,11,13,12,11,13,10,10,10,12,21,18,18,17,18,12,12,
47045,Fine Particulate Matter,2020-01-11,9,5,4,3,4,5,4,3,3,3,2,3,4,4,5,4,4,4,4,3,3,2,2,2,
47045,Fine Particulate Matter,2020-01-12,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,5,5,4,5,5,4,5,
47045,Fine Particulate Matter,2020-01-13,4,3,4,6,6,5,4,5,6,7,8,8,7,9,11,13,15,16,15,16,14,11,10,11,
47045,Fine Particulate Matter,2020-01-14,8,7,6,5,6,8,9,6,9,10,11,12,13,14,12,12,16,17,18,19,23,24,19,9,
47045,Fine Particulate Matter,2020-01-15,7,8,8,7,4,3,4,4,5,7,7,6,7,7,7,7,9,11,10,11,14,13,12,13,
47045,Fine Particulate Matter,2020-01-16,14,17,18,12,4,3,3,2,2,2,2,2,2,2,2,4,4,4,5,4,4,3,2,2,
47045,Fine Particulate Matter,2020-01-17,3,4,5,5,5,5,5,5,5,3,3,4,5,4,4,4,6,9,10,10,8,8,8,6,
47045,Fine Particulate Matter,2020-01-18,6,7,8,11,9,8,6,5,5,5,5,5,4,3,4,6,6,5,5,5,4,4,7,8,
47045,Fine Particulate Matter,2020-01-19,4,4,4,5,5,6,6,5,6,7,6,5,4,4,3,3,4,4,4,4,4,4,3,2,
47045,Fine Particulate Matter,2020-01-20,3,4,4,3,3,3,3,5,7,6,5,4,5,4,4,4,4,4,4,4,4,3,4,4,
47045,Fine Particulate Matter,2020-01-21,5,4,5,4,5,5,5,5,7,9,8,5,4,4,5,5,5,6,6,7,7,7,10,10,
47045,Fine Particulate Matter,2020-01-22,9,10,12,13,14,17,24,20,9999,9999,9999,9999,17,17,15,14,13,13,14,12,13,15,16,14,
47045,Fine Particulate Matter,2020-01-23,15,19,22,21,24,26,27,27,27,26,26,26,23,21,19,20,23,22,21,21,21,25,24,25,
47045,Fine Particulate Matter,2020-01-24,26,27,23,16,12,11,10,9,9,9,9,9,9,9,10,12,12,12,12,13,11,10,8,8,
47045,Fine Particulate Matter,2020-01-25,7,7,7,7,7,6,5,6,6,7,6,5,6,6,9,12,10,11,10,14,18,16,10,10,
47045,Fine Particulate Matter,2020-01-26,11,11,11,10,9,8,9,9,7,5,5,5,5,5,3,3,4,4,2,1,2,2,2,1,
47045,Fine Particulate Matter,2020-01-27,2,3,2,3,2,2,3,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,
47045,Fine Particulate Matter,2020-01-28,2,2,2,2,3,4,4,4,5,6,6,7,5,3,3,3,3,4,5,4,3,1,1,1,
47045,Fine Particulate Matter,2020-01-29,1,1,1,1,1,2,3,4,2,1,1,2,3,3,2,3,5,6,7,8,10,7,10,8,
47045,Fine Particulate Matter,2020-01-30,8,9,11,11,10,9,9,8,9,9,9,9,8,5,4,6,6,8,7,13,14,18,19,18,
47045,Fine Particulate Matter,2020-01-31,24,15,14,15,15,17,17,16,18,21,20,18,18,19,14,12,14,19,17,17,22,23,23,23,
47045,Fine Particulate Matter,2020-02-01,21,23,39,24,26,24,26,45,26,27,39,39,35,32,25,20,18,20,23,29,21,19,14,13,
47045,Fine Particulate Matter,2020-02-02,14,16,17,18,16,12,9,8,9,10,11,15,14,11,10,7,6,8,10,12,12,16,17,13,
47045,Fine Particulate Matter,2020-02-03,12,9,11,7,4,4,2,1,1,1,0,0,0,0,0,0,1,1,3,9,5,4,9,3,
47045,Fine Particulate Matter,2020-02-04,2,4,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,
47045,Fine Particulate Matter,2020-02-05,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,3,1,
